epoch,loss,task_loss,compute_loss,val_acc,test_acc,avg_token_ratio,flop_reduction,tau
1,0.496907,0.487907,0.085542,0.6923,0.6695,1.0000,-0.8957,2.0000
2,0.217623,0.208623,0.019858,0.8120,0.7119,1.0000,-0.8957,1.9848
3,0.209516,0.200516,0.019090,0.7265,0.7373,1.0000,-0.8957,1.9697
4,0.200685,0.191685,0.017696,0.8291,0.7797,1.0000,-0.8957,1.9545
5,0.151666,0.142666,0.019034,0.6496,0.6441,1.0000,-0.8957,1.9394
6,0.167601,0.158601,0.015871,0.4530,0.4322,1.0000,-0.8957,1.9242
7,0.165556,0.156556,0.017971,0.7692,0.7034,1.0000,-0.8957,1.9091
8,0.147307,0.138307,0.018498,0.7521,0.7203,1.0000,-0.8957,1.8939
9,0.172078,0.163078,0.019517,0.5983,0.5593,1.0000,-0.8957,1.8788
10,0.117133,0.108133,0.018237,0.7863,0.7542,1.0000,-0.8957,1.8636
11,0.129168,0.120168,0.020193,0.8547,0.7542,1.0000,-0.8957,1.8485
12,0.115585,0.106585,0.019882,0.6496,0.6356,1.0000,-0.8957,1.8333
13,0.116566,0.107566,0.017742,0.6068,0.5593,1.0000,-0.8957,1.8182
14,0.120769,0.111769,0.017783,0.8291,0.7712,1.0000,-0.8957,1.8030
15,0.114821,0.105821,0.016593,0.8291,0.7797,1.0000,-0.8957,1.7879
16,0.110043,0.101043,0.016064,0.7350,0.7119,1.0000,-0.8957,1.7727
17,0.105648,0.096648,0.017539,0.8120,0.7712,1.0000,-0.8957,1.7576
18,0.103478,0.094478,0.016812,0.8291,0.8136,1.0000,-0.8957,1.7424
19,0.102373,0.093373,0.020129,0.8291,0.8051,1.0000,-0.8957,1.7273
20,0.109383,0.100383,0.021239,0.8120,0.8136,1.0000,-0.8957,1.7121
21,0.100182,0.091182,0.018638,0.8376,0.8220,1.0000,-0.8957,1.6970
22,0.101121,0.092121,0.022341,0.7521,0.7203,1.0000,-0.8957,1.6818
23,0.097544,0.088544,0.020876,0.8462,0.7627,1.0000,-0.8957,1.6667
24,0.095079,0.086079,0.025013,0.8034,0.7712,1.0000,-0.8957,1.6515
25,0.100959,0.091959,0.026451,0.7949,0.7373,1.0000,-0.8957,1.6364
26,0.099253,0.090253,0.023936,0.8291,0.7797,1.0000,-0.8957,1.6212
27,0.096923,0.087923,0.028485,0.7863,0.7458,1.0000,-0.8957,1.6061
28,0.090335,0.081335,0.029665,0.8034,0.7627,1.0000,-0.8957,1.5909
29,0.098614,0.089614,0.034529,0.8120,0.7627,1.0000,-0.8957,1.5758
30,0.091907,0.082907,0.037232,0.8291,0.7881,1.0000,-0.8957,1.5606
31,0.088575,0.079575,0.036159,0.7949,0.7542,1.0000,-0.8957,1.5455
32,0.086442,0.077442,0.039418,0.7863,0.7881,1.0000,-0.8957,1.5303
33,0.084360,0.075360,0.040673,0.6667,0.6949,1.0000,-0.8957,1.5152
34,0.087181,0.078181,0.046484,0.7692,0.7881,1.0000,-0.8957,1.5000
35,0.080041,0.071041,0.046171,0.8120,0.7881,1.0000,-0.8957,1.4848
36,0.084152,0.075152,0.044542,0.8034,0.7627,1.0000,-0.8957,1.4697
37,0.079818,0.070818,0.049933,0.7179,0.6864,1.0000,-0.8957,1.4545
38,0.081153,0.072153,0.055731,0.8205,0.7712,1.0000,-0.8957,1.4394
39,0.071268,0.062268,0.059866,0.7094,0.6864,1.0000,-0.8957,1.4242
40,0.079995,0.070995,0.058003,0.8376,0.7797,1.0000,-0.8957,1.4091
41,0.075298,0.066298,0.057700,0.7009,0.6695,1.0000,-0.8957,1.3939
42,0.079530,0.070530,0.057501,0.8034,0.7288,1.0000,-0.8957,1.3788
43,0.070529,0.061529,0.063757,0.7692,0.7542,1.0000,-0.8957,1.3636
44,0.069585,0.060585,0.065384,0.7949,0.7458,1.0000,-0.8957,1.3485
45,0.064905,0.055905,0.065350,0.7265,0.7373,1.0000,-0.8957,1.3333
46,0.069303,0.060303,0.070880,0.7607,0.7458,1.0000,-0.8957,1.3182
47,0.068656,0.059656,0.064545,0.7692,0.7627,1.0000,-0.8957,1.3030
48,0.057024,0.048024,0.077714,0.7436,0.7034,1.0000,-0.8957,1.2879
49,0.062792,0.053792,0.078869,0.7863,0.7288,1.0000,-0.8957,1.2727
50,0.061093,0.052093,0.067235,0.7949,0.8051,1.0000,-0.8957,1.2576
51,0.059486,0.050486,0.077061,0.7863,0.8051,1.0000,-0.8957,1.2424
52,0.060810,0.051810,0.079083,0.8205,0.7881,1.0000,-0.8957,1.2273
53,0.060659,0.051659,0.079232,0.7692,0.7458,1.0000,-0.8957,1.2121
54,0.065151,0.056151,0.081807,0.5983,0.5339,1.0000,-0.8957,1.1970
55,0.057336,0.048336,0.084154,0.8462,0.6864,1.0000,-0.8957,1.1818
56,0.056945,0.047945,0.087236,0.7863,0.7119,1.0000,-0.8957,1.1667
57,0.056284,0.047284,0.090148,0.8034,0.7797,1.0000,-0.8957,1.1515
58,0.052741,0.043741,0.090298,0.6923,0.6864,1.0000,-0.8957,1.1364
59,0.059749,0.050749,0.096716,0.8034,0.7542,1.0000,-0.8957,1.1212
60,0.050561,0.041561,0.096713,0.7949,0.7119,1.0000,-0.8957,1.1061
61,0.057379,0.048379,0.100488,0.7949,0.7797,1.0000,-0.8957,1.0909
62,0.048205,0.039205,0.105590,0.7350,0.6864,1.0000,-0.8957,1.0758
63,0.045128,0.036128,0.096621,0.7778,0.7627,1.0000,-0.8957,1.0606
64,0.051388,0.042388,0.104102,0.7863,0.7288,1.0000,-0.8957,1.0455
65,0.049522,0.040522,0.101243,0.7350,0.6356,1.0000,-0.8957,1.0303
66,0.048407,0.039407,0.108787,0.7094,0.7288,1.0000,-0.8957,1.0152
67,0.046352,0.037352,0.108450,0.7778,0.7627,1.0000,-0.8957,1.0000
68,0.042691,0.033691,0.103139,0.7436,0.6695,1.0000,-0.8957,0.9848
