epoch,loss,task_loss,compute_loss,test_acc,avg_token_ratio,flop_reduction,tau
1,0.564104,0.561582,0.028286,0.6132,0.5742,0.6088,2.0000
2,0.192986,0.192851,0.001780,0.5369,0.5643,0.6221,1.9211
3,0.247650,0.247533,0.001551,0.6718,0.5612,0.6259,1.8421
4,0.213953,0.213839,0.001571,0.6896,0.5584,0.6295,1.7632
5,0.206745,0.206590,0.002068,0.7455,0.5536,0.6351,1.6842
6,0.170270,0.170171,0.001391,0.6870,0.5591,0.6284,1.6053
7,0.165739,0.165652,0.001206,0.5420,0.5543,0.6347,1.5263
8,0.127602,0.127520,0.001173,0.6616,0.5549,0.6339,1.4474
9,0.137759,0.137666,0.001359,0.5980,0.5512,0.6385,1.3684
10,0.153850,0.153756,0.001402,0.7150,0.5509,0.6387,1.2895
11,0.122953,0.122864,0.001363,0.6794,0.5508,0.6388,1.2105
12,0.142084,0.142012,0.001123,0.6412,0.5506,0.6395,1.1316
13,0.138739,0.138658,0.001276,0.7023,0.5508,0.6390,1.0526
14,0.126215,0.126127,0.001349,0.7354,0.5534,0.6368,0.9737
15,0.133718,0.133640,0.001249,0.7812,0.5529,0.6367,0.8947
16,0.116275,0.116196,0.001297,0.4427,0.5503,0.6398,0.8158
17,0.140719,0.140617,0.001615,0.7506,0.5465,0.6436,0.7368
18,0.120007,0.119917,0.001484,0.6768,0.5451,0.6450,0.6579
19,0.108026,0.107914,0.001783,0.7735,0.5466,0.6419,0.5789
20,0.107249,0.107137,0.001832,0.7430,0.5471,0.6424,0.5000
