Method,lambda_compute,n_folds,fold,val_acc,test_acc,avg_token_ratio,flop_reduction
adaptive_gps,0.5,10,1,0.7607,0.6864,0.5791,0.4221
adaptive_gps,0.5,10,2,0.8120,0.7458,0.5833,0.3911
adaptive_gps,0.5,10,3,0.8205,0.7288,0.5747,0.8197
adaptive_gps,0.5,10,4,0.8120,0.8305,0.5847,0.7289
adaptive_gps,0.5,10,5,0.8205,0.7627,0.5838,0.4406
adaptive_gps,0.5,10,6,0.8632,0.7712,0.5816,0.3836
adaptive_gps,0.5,10,7,0.7949,0.7881,0.5734,0.4279
adaptive_gps,0.5,10,8,0.8205,0.7712,0.5819,0.4463
adaptive_gps,0.5,10,9,0.8034,0.7521,0.5824,0.4473
adaptive_gps,0.5,10,10,0.8376,0.7692,0.5401,0.6530
