epoch,loss,task_loss,compute_loss,head_sparse_loss,head_div_loss,val_acc,test_acc,avg_token_ratio,avg_head_gate,flop_reduction,tau
1,0.483398,0.484406,0.016534,0.002114,-0.008917,0.5556,0.6271,0.6249,0.5825,0.2749,2.0000
2,0.271322,0.273391,0.002496,0.000226,-0.008850,0.7436,0.6271,0.6271,0.5915,0.2703,1.9848
3,0.131853,0.134049,0.001900,0.000239,-0.009200,0.7521,0.6186,0.6295,0.5948,0.2656,1.9697
4,0.141734,0.144067,0.001000,0.000418,-0.009711,0.7521,0.6695,0.6299,0.5952,0.2649,1.9545
5,0.133579,0.136086,0.001115,0.000466,-0.010314,0.7692,0.6864,0.6301,0.5864,0.2646,1.9394
6,0.123837,0.127225,0.001010,0.001430,-0.013888,0.5897,0.4492,0.6301,0.7064,0.2646,1.9242
7,0.111711,0.118768,0.001068,0.006752,-0.029647,0.7350,0.7373,0.6303,0.5331,0.2643,1.9091
8,0.123463,0.131574,0.001282,0.012886,-0.037243,0.7265,0.7373,0.6302,0.5569,0.2643,1.8939
9,0.107689,0.113544,0.001152,0.015264,-0.031380,0.7265,0.6780,0.6302,0.4448,0.2643,1.8788
10,0.104711,0.111678,0.001342,0.015475,-0.035214,0.6496,0.7034,0.6303,0.4861,0.2643,1.8636
11,0.091820,0.102583,0.001381,0.012512,-0.045838,0.6581,0.6949,0.6304,0.6409,0.2642,1.8485
12,0.085891,0.098833,0.001441,0.013074,-0.053502,0.7436,0.6949,0.6304,0.4827,0.2642,1.8333
13,0.079898,0.100211,0.001729,0.023849,-0.085268,0.7521,0.7458,0.6304,0.4026,0.2642,1.8182
14,0.071452,0.094919,0.001677,0.026929,-0.097782,0.7265,0.7203,0.6304,0.4951,0.2642,1.8030
15,0.071446,0.094235,0.001361,0.027256,-0.095764,0.7436,0.7119,0.6304,0.5294,0.2642,1.7879
16,0.073219,0.096978,0.001697,0.026888,-0.098746,0.7436,0.7373,0.6305,0.5029,0.2642,1.7727
17,0.070247,0.094204,0.002125,0.026110,-0.098894,0.7436,0.7542,0.6304,0.5520,0.2642,1.7576
18,0.068967,0.091085,0.001761,0.040736,-0.102510,0.7179,0.6949,0.6304,0.6773,0.2642,1.7424
19,0.067630,0.092830,0.001769,0.035078,-0.109042,0.7521,0.7288,0.6304,0.4798,0.2642,1.7273
20,0.065081,0.091194,0.002346,0.033050,-0.110715,0.5726,0.4492,0.6304,0.4385,0.2642,1.7121
21,0.068422,0.094736,0.001822,0.032221,-0.110882,0.7009,0.7458,0.6304,0.3860,0.2642,1.6970
22,0.066810,0.091372,0.002619,0.033295,-0.105705,0.7094,0.7627,0.6304,0.5086,0.2642,1.6818
23,0.063937,0.090302,0.002962,0.030968,-0.110188,0.7436,0.7373,0.6304,0.5257,0.2642,1.6667
24,0.062564,0.089756,0.002557,0.027219,-0.110430,0.7265,0.7119,0.6304,0.4213,0.2642,1.6515
25,0.067855,0.091367,0.002788,0.041844,-0.107936,0.7521,0.7373,0.6304,0.7822,0.2642,1.6364
26,0.061548,0.087543,0.003034,0.032224,-0.109750,0.7436,0.7288,0.6304,0.5418,0.2642,1.6212
27,0.068888,0.094053,0.003247,0.036589,-0.109906,0.7521,0.7627,0.6304,0.4209,0.2642,1.6061
28,0.059309,0.085787,0.002999,0.038952,-0.115889,0.6838,0.7542,0.6304,0.5179,0.2642,1.5909
29,0.058786,0.086988,0.004242,0.034964,-0.118997,0.5812,0.5424,0.6304,0.4697,0.2642,1.5758
30,0.070957,0.094655,0.004022,0.036874,-0.105186,0.7094,0.7797,0.6304,0.5718,0.2642,1.5606
31,0.060631,0.087160,0.004618,0.030724,-0.110605,0.7265,0.7881,0.6304,0.5790,0.2642,1.5455
32,0.059373,0.086581,0.004908,0.036129,-0.116455,0.7350,0.7542,0.6304,0.5697,0.2642,1.5303
33,0.055433,0.085185,0.004514,0.030740,-0.121385,0.7350,0.7119,0.6304,0.4575,0.2642,1.5152
34,0.060901,0.087961,0.004678,0.033264,-0.114065,0.7179,0.7712,0.6303,0.4627,0.2642,1.5000
35,0.054860,0.081722,0.006773,0.035883,-0.115154,0.5812,0.6949,0.6304,0.5361,0.2642,1.4848
36,0.058136,0.084504,0.006822,0.035616,-0.113370,0.7179,0.7034,0.6303,0.6002,0.2642,1.4697
37,0.058159,0.084233,0.007469,0.033418,-0.110959,0.7094,0.7712,0.6303,0.7715,0.2642,1.4545
38,0.055871,0.082272,0.007174,0.036336,-0.113943,0.7350,0.7034,0.6304,0.5123,0.2642,1.4394
39,0.050925,0.078852,0.007922,0.035792,-0.118713,0.6838,0.6949,0.6303,0.6052,0.2642,1.4242
40,0.054905,0.080602,0.009252,0.030496,-0.107764,0.7179,0.7119,0.6304,0.6065,0.2642,1.4091
41,0.052037,0.080399,0.008016,0.028569,-0.115339,0.7436,0.7712,0.6304,0.5398,0.2642,1.3939
42,0.056959,0.080903,0.007687,0.040688,-0.108726,0.6838,0.7203,0.6304,0.4118,0.2642,1.3788
43,0.059030,0.084770,0.008089,0.040706,-0.114677,0.6667,0.5678,0.6304,0.5113,0.2642,1.3636
44,0.050249,0.076375,0.009649,0.035164,-0.112294,0.7265,0.7373,0.6303,0.6853,0.2642,1.3485
45,0.053238,0.079842,0.009550,0.027823,-0.109041,0.6923,0.7119,0.6303,0.5608,0.2642,1.3333
