epoch,loss,task_loss,compute_loss,head_entropy,val_acc,test_acc,avg_token_ratio,avg_head_gate,flop_reduction,tau
1,0.804767,0.713304,0.009878,0.285178,0.7701,0.6692,0.5989,0.4664,0.3951,2.0000
2,0.341832,0.306059,0.001507,0.114794,0.8276,0.6641,0.6206,0.4659,0.3548,1.9211
3,0.269735,0.234802,0.001495,0.112776,0.7816,0.6590,0.6277,0.4657,0.3418,1.8421
4,0.213672,0.179148,0.000928,0.112291,0.7126,0.6565,0.6295,0.4656,0.3389,1.7632
5,0.244176,0.209722,0.000969,0.112019,0.3448,0.4122,0.6296,0.4657,0.3388,1.6842
6,0.222611,0.188194,0.000917,0.112044,0.8276,0.6997,0.6298,0.4657,0.3384,1.6053
7,0.197033,0.162729,0.000731,0.111903,0.8046,0.7277,0.6300,0.4656,0.3382,1.5263
8,0.227063,0.192505,0.001319,0.112018,0.8161,0.7201,0.6300,0.4657,0.3380,1.4474
9,0.217492,0.183045,0.001036,0.112105,0.7471,0.6361,0.6300,0.4657,0.3380,1.3684
10,0.176423,0.141968,0.001146,0.111917,0.6667,0.5903,0.6302,0.4656,0.3379,1.2895
11,0.204177,0.169759,0.001027,0.111978,0.6782,0.5852,0.6300,0.4657,0.3380,1.2105
12,0.164513,0.130103,0.001051,0.111992,0.8506,0.7430,0.6303,0.4656,0.3377,1.1316
13,0.180315,0.146001,0.000802,0.111869,0.6552,0.6412,0.6303,0.4656,0.3377,1.0526
14,0.151507,0.117181,0.001000,0.111835,0.7356,0.7277,0.6304,0.4656,0.3376,0.9737
15,0.164318,0.130260,0.000225,0.111708,0.4828,0.4860,0.6302,0.4656,0.3378,0.8947
16,0.152122,0.117782,0.000878,0.111888,0.8621,0.7583,0.6302,0.4656,0.3377,0.8158
17,0.146030,0.111719,0.000911,0.111848,0.4943,0.4936,0.6303,0.4656,0.3377,0.7368
18,0.147579,0.113167,0.001175,0.111897,0.7931,0.7277,0.6302,0.4656,0.3377,0.6579
19,0.151026,0.116622,0.001230,0.111858,0.8276,0.7786,0.6304,0.4656,0.3376,0.5789
20,0.149052,0.114656,0.001280,0.111851,0.8736,0.7532,0.6303,0.4656,0.3376,0.5000
