epoch,loss,val_acc,test_acc,avg_token_ratio,flop_reduction
1,5.126897,0.6667,0.6356,0.4700,0.7791
2,1.659406,0.6410,0.7034,0.4700,0.7791
3,1.100262,0.4957,0.5339,0.4700,0.7791
4,0.754528,0.6325,0.6102,0.4700,0.7791
5,0.650842,0.7094,0.7203,0.4700,0.7791
6,0.565001,0.7350,0.7119,0.4700,0.7791
7,0.604062,0.7436,0.6864,0.4700,0.7791
8,0.542130,0.7265,0.6610,0.4700,0.7791
9,0.515341,0.6667,0.7119,0.4700,0.7791
10,0.497552,0.7521,0.7712,0.4700,0.7791
11,0.460272,0.4188,0.4661,0.4700,0.7791
12,0.500294,0.3932,0.4153,0.4700,0.7791
13,0.484265,0.4444,0.4746,0.4700,0.7791
14,0.504903,0.6410,0.6356,0.4700,0.7791
15,0.457409,0.7863,0.7458,0.4700,0.7791
16,0.469673,0.5043,0.5085,0.4700,0.7791
17,0.467593,0.7179,0.6949,0.4700,0.7791
18,0.429185,0.7607,0.7203,0.4700,0.7791
19,0.464015,0.6410,0.6356,0.4700,0.7791
20,0.436945,0.7521,0.6271,0.4700,0.7791
21,0.430158,0.6752,0.7119,0.4700,0.7791
22,0.440933,0.7350,0.7203,0.4700,0.7791
23,0.417301,0.5128,0.5593,0.4700,0.7791
24,0.445862,0.7350,0.6780,0.4700,0.7791
25,0.422652,0.7265,0.7542,0.4700,0.7791
26,0.394656,0.6838,0.7203,0.4700,0.7791
27,0.459085,0.6838,0.7712,0.4700,0.7791
28,0.432042,0.7094,0.6780,0.4700,0.7791
29,0.432793,0.6838,0.6780,0.4700,0.7791
30,0.420669,0.4103,0.4407,0.4700,0.7791
31,0.436533,0.7521,0.7288,0.4700,0.7791
32,0.404961,0.6239,0.6186,0.4700,0.7791
33,0.438309,0.7436,0.7627,0.4700,0.7791
34,0.445472,0.5641,0.6610,0.4700,0.7791
35,0.469557,0.7350,0.7797,0.4700,0.7791
36,0.417437,0.6838,0.7119,0.4700,0.7791
37,0.408702,0.8120,0.7712,0.4700,0.7791
38,0.381855,0.7863,0.7288,0.4700,0.7791
39,0.408040,0.6325,0.6525,0.4700,0.7791
40,0.376096,0.7863,0.7119,0.4700,0.7791
41,0.388635,0.7265,0.6864,0.4700,0.7791
42,0.382208,0.7436,0.7288,0.4700,0.7791
43,0.405016,0.7094,0.6949,0.4700,0.7791
44,0.380840,0.6923,0.6949,0.4700,0.7791
45,0.358373,0.7009,0.6864,0.4700,0.7791
46,0.386121,0.7436,0.7034,0.4700,0.7791
47,0.385113,0.6325,0.6864,0.4700,0.7791
48,0.375400,0.7607,0.8051,0.4700,0.7791
49,0.365392,0.7265,0.7627,0.4700,0.7791
50,0.323437,0.6667,0.6780,0.4700,0.7791
51,0.354634,0.6239,0.6102,0.4700,0.7791
52,0.286804,0.7265,0.6949,0.4700,0.7791
53,0.307241,0.5299,0.5169,0.4700,0.7791
54,0.317033,0.7350,0.8136,0.4700,0.7791
55,0.312141,0.7692,0.6949,0.4700,0.7791
56,0.287332,0.4786,0.5593,0.4700,0.7791
57,0.319507,0.7179,0.7373,0.4700,0.7791
58,0.270402,0.8120,0.7712,0.4700,0.7791
59,0.301909,0.7607,0.7627,0.4700,0.7791
60,0.245457,0.8034,0.7458,0.4700,0.7791
61,0.311655,0.7607,0.7627,0.4700,0.7791
62,0.243468,0.7863,0.7203,0.4700,0.7791
63,0.284875,0.8120,0.7458,0.4700,0.7791
64,0.272940,0.8034,0.7712,0.4700,0.7791
65,0.253956,0.7949,0.7542,0.4700,0.7791
66,0.299495,0.7436,0.7542,0.4700,0.7791
67,0.266766,0.7350,0.7034,0.4700,0.7791
68,0.228872,0.8120,0.7712,0.4700,0.7791
69,0.218028,0.7863,0.6949,0.4700,0.7791
70,0.229188,0.7607,0.7881,0.4700,0.7791
71,0.241925,0.7949,0.7797,0.4700,0.7791
72,0.225995,0.7265,0.7542,0.4700,0.7791
73,0.249059,0.7778,0.7627,0.4700,0.7791
74,0.249725,0.7179,0.6949,0.4700,0.7791
75,0.206583,0.8205,0.7542,0.4700,0.7791
76,0.215944,0.7692,0.7542,0.4700,0.7791
77,0.254474,0.7778,0.7797,0.4700,0.7791
78,0.264527,0.7521,0.7458,0.4700,0.7791
79,0.231690,0.8376,0.7627,0.4700,0.7791
80,0.210922,0.7607,0.7627,0.4700,0.7791
81,0.215976,0.7778,0.7203,0.4700,0.7791
82,0.196357,0.7436,0.7203,0.4700,0.7791
83,0.194704,0.7949,0.7542,0.4700,0.7791
84,0.204444,0.7094,0.7797,0.4700,0.7791
85,0.187660,0.7179,0.7797,0.4700,0.7791
86,0.205395,0.8034,0.7119,0.4700,0.7791
87,0.210819,0.7265,0.7373,0.4700,0.7791
88,0.200496,0.7265,0.7542,0.4700,0.7791
89,0.198417,0.6752,0.6864,0.4700,0.7791
90,0.206182,0.7094,0.6864,0.4700,0.7791
91,0.186691,0.7607,0.7712,0.4700,0.7791
92,0.212062,0.7692,0.7712,0.4700,0.7791
93,0.261385,0.7607,0.7797,0.4700,0.7791
94,0.145232,0.7607,0.7203,0.4700,0.7791
95,0.158371,0.7607,0.7458,0.4700,0.7791
96,0.214107,0.7949,0.8136,0.4700,0.7791
97,0.174391,0.7009,0.7458,0.4700,0.7791
98,0.207532,0.6239,0.6356,0.4700,0.7791
99,0.203304,0.8034,0.7712,0.4700,0.7791
100,0.185099,0.7009,0.7373,0.4700,0.7791
